key,name_key,name,position,consensus_adp,n_sources,ESPN,FootballGuys,CBS,DraftKings,Drafters,MFL,NFFC,Underdog,consensus_rank
jahmyrgibbs,jahmyrgibbs,Jahmyr Gibbs,RB,1.05,7,1.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bijanrobinson,bijanrobinson,Bijan Robinson,RB,2.07,7,2.47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
jamarrchase,jamarrchase,Ja'Marr Chase,WR,3.33,7,4.3,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
pukanacua,pukanacua,Puka Nacua,WR,4.6,7,5.21,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0
jaxonsmithnjigba,jaxonsmithnjigba,Jaxon Smith-Njigba,WR,5.78,7,6.44,6.0,6.0,5.0,5.0,8.0,5.0,5.0,5.0
christianmccaffrey,christianmccaffrey,Christian McCaffrey,RB,6.66,7,7.6,5.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0
jonathantaylor,jonathantaylor,Jonathan Taylor,RB,6.9,7,6.31,8.0,5.0,8.0,8.0,5.0,8.0,8.0,7.0
amonrastbrown,amonrastbrown,Amon-Ra St. Brown,WR,7.51,7,8.58,7.0,8.0,7.0,6.0,10.0,6.0,7.0,8.0
jamescook,jamescook,James Cook III,RB,9.18,7,10.29,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ceedeelamb,ceedeelamb,CeeDee Lamb,WR,11.08,7,11.53,11.0,12.0,11.0,10.0,13.0,10.0,10.0,10.0
justinjefferson,justinjefferson,Justin Jefferson,WR,12.33,7,12.3,10.0,15.0,10.0,11.0,16.0,11.0,11.0,11.0
saquonbarkley,saquonbarkley,Saquon Barkley,RB,13.03,7,14.24,13.0,13.0,12.0,13.0,11.0,16.0,12.0,12.0
chasebrown,chasebrown,Chase Brown,RB,13.17,7,18.19,12.0,10.0,13.0,12.0,12.0,13.0,14.0,13.0
devonachane,devonachane,De'Von Achane,RB,14.5,7,13.51,14.0,11.0,15.0,15.0,15.0,15.0,17.0,14.0
omarionhampton,omarionhampton,Omarion Hampton,RB,16.29,7,18.04,15.0,17.0,16.0,16.0,17.0,14.0,16.0,15.0
kennethwalkeriii,kennethwalkeriii,Kenneth Walker III,RB,16.67,7,24.72,16.0,16.0,14.0,14.0,18.0,17.0,13.0,16.0
derrickhenry,derrickhenry,Derrick Henry,RB,16.81,7,16.65,20.0,14.0,18.0,19.0,14.0,21.0,15.0,17.0
ashtonjeanty,ashtonjeanty,Ashton Jeanty,RB,18.66,7,21.65,17.0,22.0,20.0,17.0,20.0,12.0,18.0,18.0
ajbrown,ajbrown,A.J. Brown,WR,19.11,7,21.79,19.0,18.0,17.0,20.0,19.0,19.0,19.0,19.0
brockbowers,brockbowers,Brock Bowers,TE,21.74,7,24.21,18.0,25.0,19.0,18.0,26.0,20.0,20.0,20.0
drakelondon,drakelondon,Drake London,WR,22.13,7,20.91,21.0,21.0,25.0,23.0,23.0,18.0,24.0,21.0
nicocollins,nicocollins,Nico Collins,WR,23.3,7,26.09,22.0,24.0,24.0,21.0,24.0,23.0,21.0,22.0
georgepickens,georgepickens,George Pickens,WR,23.47,7,28.31,23.0,20.0,22.0,24.0,25.0,22.0,23.0,23.0
joshallen,joshallen,Josh Allen,QB,23.67,7,18.69,30.0,19.0,28.0,33.0,3.0,27.0,37.0,24.0
chrisolave,chrisolave,Chris Olave,WR,26.15,7,30.04,24.0,26.0,21.0,22.0,34.0,25.0,25.0,25.0
treymcbride,treymcbride,Trey McBride,TE,26.48,7,23.37,25.0,27.0,27.0,28.0,27.0,24.0,29.0,26.0
maliknabers,maliknabers,Malik Nabers,WR,28.18,7,36.28,26.0,30.0,23.0,25.0,33.0,28.0,22.0,27.0
rasheerice,rasheerice,Rashee Rice,WR,28.19,7,29.36,27.0,23.0,29.0,30.0,32.0,26.0,28.0,28.0
javontewilliams,javontewilliams,Javonte Williams,RB,29.0,7,33.03,29.0,29.0,26.0,26.0,30.0,32.0,27.0,29.0
kyrenwilliams,kyrenwilliams,Kyren Williams,RB,29.34,7,35.36,33.0,28.0,30.0,29.0,22.0,31.0,30.0,30.0
devontasmith,devontasmith,DeVonta Smith,WR,30.91,7,36.37,28.0,31.0,31.0,27.0,35.0,30.0,26.0,31.0
jeremiyahlove,jeremiyahlove,Jeremiyah Love,RB,30.93,7,25.54,31.0,33.0,36.0,31.0,31.0,29.0,31.0,32.0
zayflowers,zayflowers,Zay Flowers,WR,35.76,7,44.3,32.0,34.0,34.0,32.0,40.0,33.0,33.0,33.0
breecehall,breecehall,Breece Hall,RB,36.0,7,35.97,34.0,39.0,39.0,35.0,37.0,34.0,32.0,34.0
travisetienne,travisetienne,Travis Etienne Jr.,RB,36.58,7,40.03,37.0,32.0,33.0,37.0,36.0,40.0,38.0,35.0
laddmcconkey,laddmcconkey,Ladd McConkey,WR,37.75,7,47.25,35.0,38.0,32.0,34.0,43.0,36.0,34.0,36.0
garrettwilson,garrettwilson,Garrett Wilson,WR,39.75,7,37.26,36.0,45.0,38.0,36.0,48.0,35.0,39.0,37.0
teehiggins,teehiggins,Tee Higgins,WR,40.37,7,53.6,41.0,36.0,40.0,40.0,39.0,38.0,36.0,38.0
colstonloveland,colstonloveland,Colston Loveland,TE,41.43,7,42.03,38.0,40.0,37.0,41.0,45.0,42.0,43.0,39.0
emekaegbuka,emekaegbuka,Emeka Egbuka,WR,42.71,7,45.94,40.0,44.0,43.0,45.0,42.0,39.0,40.0,40.0
jaylenwaddle,jaylenwaddle,Jaylen Waddle,WR,43.11,7,54.75,39.0,46.0,35.0,38.0,52.0,41.0,35.0,41.0
tetairoamcmillan,tetairoamcmillan,Tetairoa McMillan,WR,43.22,7,43.52,42.0,42.0,44.0,44.0,50.0,37.0,42.0,42.0
dandreswift,dandreswift,D'Andre Swift,RB,43.38,7,54.67,46.0,35.0,42.0,42.0,41.0,48.0,41.0,43.0
camskattebo,camskattebo,Cam Skattebo,RB,44.02,7,46.17,45.0,37.0,45.0,51.0,38.0,44.0,47.0,44.0
lamarjackson,lamarjackson,Lamar Jackson,QB,45.78,7,32.47,56.0,41.0,53.0,57.0,21.0,58.0,58.0,45.0
djmoore,djmoore,DJ Moore,WR,48.96,7,59.75,43.0,48.0,41.0,39.0,56.0,50.0,49.0,46.0
davanteadams,davanteadams,Davante Adams,WR,49.08,7,46.58,48.0,53.0,48.0,50.0,46.0,49.0,51.0,47.0
buckyirving,buckyirving,Bucky Irving,RB,49.39,7,57.72,50.0,43.0,50.0,47.0,47.0,53.0,48.0,48.0
davidmontgomery,davidmontgomery,David Montgomery,RB,50.86,7,64.05,47.0,49.0,47.0,48.0,57.0,46.0,45.0,49.0
jamesonwilliams,jamesonwilliams,Jameson Williams,WR,53.08,7,65.56,49.0,54.0,51.0,49.0,59.0,47.0,46.0,50.0
quinshonjudkins,quinshonjudkins,Quinshon Judkins,RB,53.67,7,48.69,52.0,47.0,57.0,59.0,58.0,52.0,54.0,51.0
lutherburden,lutherburden,Luther Burden III,WR,54.06,7,76.4,44.0,57.0,46.0,43.0,69.0,43.0,44.0,52.0
joeburrow,joeburrow,Joe Burrow,QB,54.38,7,52.64,61.0,50.0,59.0,68.0,28.0,56.0,67.0,53.0
drakemaye,drakemaye,Drake Maye,QB,54.8,7,46.57,63.0,51.0,63.0,66.0,29.0,62.0,66.0,54.0
terrymclaurin,terrymclaurin,Terry McLaurin,WR,55.74,7,62.21,51.0,58.0,56.0,56.0,60.0,45.0,53.0,55.0
jadarianprice,jadarianprice,Jadarian Price,RB,56.58,7,68.06,57.0,52.0,52.0,53.0,51.0,65.0,55.0,56.0
bhayshultuten,bhayshultuten,Bhayshul Tuten,RB,56.86,7,64.05,54.0,55.0,55.0,52.0,61.0,61.0,50.0,57.0
tylerwarren,tylerwarren,Tyler Warren,TE,58.43,7,51.0,53.0,56.0,58.0,62.0,62.0,60.0,60.0,58.0
romeodunze,romeodunze,Rome Odunze,WR,61.03,7,70.21,59.0,61.0,60.0,55.0,68.0,54.0,59.0,59.0
christianwatson,christianwatson,Christian Watson,WR,61.73,7,91.12,55.0,60.0,54.0,54.0,66.0,51.0,56.0,60.0
parkerwashington,parkerwashington,Parker Washington,WR,62.25,7,92.75,58.0,66.0,49.0,46.0,67.0,63.0,52.0,61.0
rhamondrestevenson,rhamondrestevenson,Rhamondre Stevenson,RB,65.01,7,78.07,64.0,62.0,61.0,58.0,64.0,71.0,61.0,62.0
jalenhurts,jalenhurts,Jalen Hurts,QB,65.81,7,53.7,82.0,63.0,72.0,73.0,44.0,84.0,71.0,63.0
mikeevans,mikeevans,Mike Evans,WR,66.19,7,84.3,60.0,70.0,62.0,60.0,73.0,57.0,57.0,64.0
jaydendaniels,jaydendaniels,Jayden Daniels,QB,67.15,7,52.05,74.0,67.0,77.0,74.0,55.0,73.0,72.0,65.0
treveyonhenderson,treveyonhenderson,TreVeyon Henderson,RB,68.34,7,81.36,62.0,71.0,70.0,67.0,70.0,55.0,64.0,66.0
calebwilliams,calebwilliams,Caleb Williams,QB,69.76,7,86.3,76.0,74.0,65.0,69.0,49.0,72.0,73.0,67.0
marvinharrisonjr,marvinharrisonjr,Marvin Harrison Jr.,WR,70.06,7,81.42,65.0,68.0,64.0,61.0,88.0,66.0,62.0,68.0
jaylenwarren,jaylenwarren,Jaylen Warren,RB,71.91,7,87.36,67.0,73.0,69.0,64.0,74.0,67.0,69.0,69.0
dakprescott,dakprescott,Dak Prescott,QB,72.49,7,72.41,87.0,59.0,73.0,85.0,54.0,83.0,81.0,70.0
tuckerkraft,tuckerkraft,Tucker Kraft,TE,75.99,7,91.91,68.0,69.0,68.0,76.0,79.0,74.0,74.0,71.0
carnelltate,carnelltate,Carnell Tate,WR,76.84,7,82.87,66.0,90.0,76.0,71.0,91.0,64.0,63.0,72.0
justinherbert,justinherbert,Justin Herbert,QB,79.53,7,86.72,85.0,82.0,83.0,81.0,63.0,77.0,84.0,73.0
courtlandsutton,courtlandsutton,Courtland Sutton,WR,80.17,7,84.17,81.0,79.0,78.0,93.0,75.0,70.0,82.0,74.0
dkmetcalf,dkmetcalf,DK Metcalf,WR,80.9,7,87.33,69.0,88.0,84.0,75.0,93.0,69.0,70.0,75.0
tonypollard,tonypollard,Tony Pollard,RB,81.0,7,88.01,73.0,72.0,82.0,86.0,84.0,75.0,80.0,76.0
brianthomasjr,brianthomasjr,Brian Thomas Jr.,WR,81.41,7,114.89,71.0,83.0,74.0,70.0,95.0,68.0,65.0,77.0
samlaporta,samlaporta,Sam LaPorta,TE,82.48,7,75.34,75.0,65.0,79.0,88.0,87.0,93.0,90.0,78.0
kylepitts,kylepitts,Kyle Pitts Sr.,TE,82.74,7,69.17,80.0,75.0,85.0,96.0,72.0,82.0,100.0,79.0
chrisgodwin,chrisgodwin,Chris Godwin Jr.,WR,83.6,7,127.18,70.0,85.0,66.0,63.0,89.0,80.0,75.0,80.0
trevorlawrence,trevorlawrence,Trevor Lawrence,QB,86.35,7,104.44,92.0,80.0,89.0,90.0,65.0,85.0,91.0,81.0
ricodowdle,ricodowdle,Rico Dowdle,RB,86.52,7,99.61,78.0,77.0,86.0,72.0,104.0,88.0,79.0,82.0
michaelwilson,michaelwilson,Michael Wilson,WR,87.74,7,107.21,77.0,95.0,71.0,78.0,100.0,76.0,87.0,83.0
brandonaubrey,brandonaubrey,Brandon Aubrey,K,89.44,3,81.33,248.0,106.0,,,81.0,,,84.0
joshjacobs,joshjacobs,Josh Jacobs,RB,89.6,7,102.2,83.0,91.0,104.0,115.0,80.0,59.0,76.0,85.0
quentinjohnston,quentinjohnston,Quentin Johnston,WR,89.68,7,136.73,79.0,92.0,67.0,65.0,121.0,78.0,68.0,86.0
haroldfannin,haroldfannin,Harold Fannin Jr.,TE,90.44,7,71.09,84.0,64.0,95.0,108.0,101.0,87.0,107.0,87.0
jonathonbrooks,jonathonbrooks,Jonathon Brooks,RB,90.47,7,107.3,72.0,87.0,81.0,84.0,107.0,89.0,78.0,88.0
texansdst,texansdst,Texans D/ST,DST,90.8,1,90.8,,,,,,,,89.0
alecpierce,alecpierce,Alec Pierce,WR,91.76,7,106.33,88.0,81.0,88.0,101.0,94.0,79.0,93.0,90.0
georgekittle,georgekittle,George Kittle,TE,93.59,7,69.16,94.0,76.0,100.0,113.0,78.0,111.0,108.0,91.0
matthewstafford,matthewstafford,Matthew Stafford,QB,93.86,7,94.05,113.0,94.0,92.0,114.0,53.0,97.0,113.0,92.0
rjharvey,rjharvey,RJ Harvey,RB,95.82,7,130.71,89.0,96.0,87.0,79.0,103.0,81.0,94.0,93.0
broncosdst,broncosdst,Broncos D/ST,DST,96.49,1,96.49,,,,,,,,94.0
ramsdst,ramsdst,Rams D/ST,DST,96.94,1,96.94,,,,,,,,95.0
marshawnlloyd,marshawnlloyd,MarShawn Lloyd,RB,98.19,7,107.33,93.0,78.0,75.0,77.0,108.0,157.0,85.0,96.0
kennygainwell,kennygainwell,Kenny Gainwell,RB,100.29,7,102.01,91.0,97.0,98.0,82.0,122.0,91.0,110.0,97.0
jkdobbins,jkdobbins,J.K. Dobbins,RB,100.36,7,113.49,97.0,86.0,107.0,103.0,98.0,96.0,99.0,98.0
blakecorum,blakecorum,Blake Corum,RB,100.76,7,129.3,86.0,101.0,91.0,89.0,120.0,92.0,83.0,99.0
patrickmahomes,patrickmahomes,Patrick Mahomes,QB,101.55,7,109.87,118.0,105.0,103.0,105.0,77.0,109.0,102.0,100.0
brockpurdy,brockpurdy,Brock Purdy,QB,102.02,7,109.17,112.0,100.0,109.0,104.0,86.0,101.0,105.0,101.0
chubahubbard,chubahubbard,Chuba Hubbard,RB,102.75,7,113.24,95.0,104.0,112.0,100.0,99.0,90.0,101.0,102.0
jaxsondart,jaxsondart,Jaxson Dart,QB,103.45,7,82.17,114.0,114.0,114.0,111.0,85.0,107.0,111.0,103.0
bonix,bonix,Bo Nix,QB,104.01,7,105.07,115.0,123.0,106.0,109.0,71.0,108.0,106.0,104.0
jordanmason,jordanmason,Jordan Mason,RB,104.82,7,142.74,99.0,93.0,94.0,91.0,118.0,103.0,92.0,105.0
jaredgoff,jaredgoff,Jared Goff,QB,105.06,7,138.43,119.0,108.0,99.0,98.0,76.0,104.0,112.0,106.0
michaelpittmanjr,michaelpittmanjr,Michael Pittman Jr.,WR,105.73,7,92.1,98.0,112.0,115.0,102.0,130.0,86.0,103.0,107.0
stefondiggs,stefondiggs,Stefon Diggs,WR,106.15,7,106.08,100.0,110.0,93.0,94.0,129.0,114.0,97.0,108.0
joshdowns,joshdowns,Josh Downs,WR,109.28,7,138.93,90.0,121.0,96.0,87.0,139.0,95.0,88.0,109.0
jaydenreed,jaydenreed,Jayden Reed,WR,109.3,7,141.13,96.0,120.0,90.0,80.0,159.0,98.0,77.0,110.0
jordanaddison,jordanaddison,Jordan Addison,WR,109.67,7,126.67,101.0,109.0,102.0,99.0,140.0,102.0,89.0,111.0
jacorycroskeymerritt,jacorycroskeymerritt,Jacory Croskey-Merritt,RB,110.49,7,139.43,103.0,102.0,105.0,97.0,119.0,113.0,98.0,112.0
dallasgoedert,dallasgoedert,Dallas Goedert,TE,110.8,7,102.63,116.0,84.0,116.0,126.0,92.0,126.0,129.0,113.0
seahawksdst,seahawksdst,Seahawks D/ST,DST,110.87,1,110.87,,,,,,,,114.0
traviskelce,traviskelce,Travis Kelce,TE,111.9,7,94.31,108.0,99.0,120.0,122.0,102.0,120.0,126.0,115.0
houstontexans,houstontexans,Houston Texans,,113.33,3,,194.0,107.0,,,97.0,136.0,,116.0
wandalerobinson,wandalerobinson,Wan'Dale Robinson,WR,113.44,7,113.07,102.0,115.0,113.0,92.0,148.0,94.0,119.0,117.0
matthewgolden,matthewgolden,Matthew Golden,WR,114.48,7,117.36,104.0,130.0,101.0,95.0,150.0,112.0,96.0,118.0
dezhaunstribling,dezhaunstribling,De'Zhaun Stribling,WR,114.73,7,139.1,107.0,113.0,80.0,83.0,145.0,148.0,95.0,119.0
losangelesrams,losangelesrams,Los Angeles Rams,,116.67,3,,195.0,103.0,,,105.0,142.0,,120.0
isaiahlikely,isaiahlikely,Isaiah Likely,TE,117.28,7,123.95,109.0,89.0,111.0,127.0,127.0,119.0,124.0,121.0
daltonkincaid,daltonkincaid,Dalton Kincaid,TE,117.48,7,133.37,106.0,117.0,97.0,107.0,134.0,117.0,117.0,122.0
steelersdst,steelersdst,Steelers D/ST,DST,119.38,1,119.38,,,,,,,,123.0
makailemon,makailemon,Makai Lemon,WR,120.32,7,137.24,105.0,128.0,108.0,110.0,174.0,99.0,86.0,124.0
kylemonangai,kylemonangai,Kyle Monangai,RB,120.5,7,126.5,111.0,111.0,122.0,132.0,131.0,106.0,115.0,125.0
denverbroncos,denverbroncos,Denver Broncos,,121.67,3,,205.0,98.0,,,111.0,156.0,,126.0
kylermurray,kylermurray,Kyler Murray,QB,124.0,7,137.99,129.0,138.0,119.0,118.0,112.0,125.0,118.0,127.0
kcconcepcion,kcconcepcion,KC Concepcion,WR,125.41,7,149.9,110.0,116.0,110.0,106.0,176.0,116.0,104.0,128.0
seattleseahawks,seattleseahawks,Seattle Seahawks,,125.67,3,,210.0,118.0,,,106.0,153.0,,129.0
jasonmyers,jasonmyers,Jason Myers,K,126.22,3,112.65,281.0,125.0,,,141.0,,,130.0
jordanlove,jordanlove,Jordan Love,QB,126.54,7,155.78,135.0,143.0,117.0,112.0,115.0,127.0,116.0,131.0
kaimifairbairn,kaimifairbairn,Ka'imi Fairbairn,K,126.9,3,124.71,274.0,133.0,,,123.0,,,132.0
bakermayfield,bakermayfield,Baker Mayfield,QB,127.1,7,147.71,136.0,137.0,126.0,121.0,113.0,122.0,123.0,133.0
jakeferguson,jakeferguson,Jake Ferguson,TE,127.48,7,116.39,121.0,126.0,127.0,139.0,125.0,121.0,138.0,134.0
aaronjones,aaronjones,Aaron Jones Sr.,RB,127.6,7,119.17,125.0,122.0,138.0,131.0,126.0,129.0,128.0,135.0
xavierworthy,xavierworthy,Xavier Worthy,WR,130.52,7,134.63,120.0,141.0,121.0,120.0,170.0,118.0,109.0,136.0
rachaadwhite,rachaadwhite,Rachaad White,RB,131.76,7,130.34,117.0,127.0,131.0,123.0,181.0,110.0,120.0,137.0
jakobimeyers,jakobimeyers,Jakobi Meyers,WR,132.62,7,122.34,122.0,129.0,132.0,125.0,190.0,105.0,125.0,138.0
ravensdst,ravensdst,Ravens D/ST,DST,132.71,1,132.71,,,,,,,,139.0
romeodoubs,romeodoubs,Romeo Doubs,WR,133.06,7,149.41,123.0,131.0,118.0,116.0,188.0,115.0,114.0,140.0
markandrews,markandrews,Mark Andrews,TE,133.19,7,127.36,126.0,119.0,137.0,142.0,137.0,133.0,137.0,141.0
camerondicker,camerondicker,Cameron Dicker,K,133.2,3,109.61,280.0,148.0,,,142.0,,,142.0
tylershough,tylershough,Tyler Shough,QB,135.84,7,152.89,140.0,154.0,125.0,128.0,133.0,128.0,130.0,143.0
eaglesdst,eaglesdst,Eagles D/ST,DST,136.5,1,136.5,,,,,,,,144.0
deebosamuel,deebosamuel,Deebo Samuel Sr.,WR,137.86,7,146.02,139.0,132.0,124.0,130.0,165.0,137.0,131.0,145.0
khalilshakir,khalilshakir,Khalil Shakir,WR,142.74,7,139.21,137.0,162.0,136.0,134.0,172.0,123.0,133.0,146.0
jalencoker,jalencoker,Jalen Coker,WR,143.0,7,154.99,128.0,142.0,128.0,119.0,206.0,124.0,127.0,147.0
